id,year_birth,education,marital_status,income,kidhome,teenhome,dt_customer,recency,mntwines,age
10629,1973,2n Cycle,Married,51381.5,1,0,2012-09-14,25,25,51
6312,1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,65
8132,1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,49
1050,1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,72
5846,1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,47
1859,1972,Master,Married,75251.0,0,0,2012-08-27,34,721,52
7503,1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,48
10401,1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,48
1618,1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,59
3332,1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,39
2261,1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,55
5346,1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,51
4119,1963,Master,Together,38620.0,0,0,2013-05-11,56,112,61
535,1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,37
5268,1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,64
273,1970,Master,Married,36138.0,1,1,2013-07-16,48,130,54
4452,1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,67
8504,1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,51
771,1967,Graduation,Together,54178.0,0,1,2014-01-21,79,135,57
8996,1957,PhD,Married,51381.5,2,1,2012-11-19,4,230,67
9235,1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,67
5798,1973,Master,Together,51381.5,0,0,2013-11-23,87,445,51
11178,1972,Master,Single,42394.0,1,0,2014-03-23,69,15,52
2230,1970,PhD,Married,23626.0,1,0,2014-05-24,84,27,54
7516,1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,41
7247,1960,Graduation,Widow,47916.0,0,1,2012-11-22,72,505,64
11100,1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,52
4646,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,73
3037,1983,PhD,Married,50150.0,0,0,2013-06-20,32,135,41
1473,1960,2n Cycle,Single,47823.0,0,1,2013-07-23,0,53,64
1016,1959,PhD,Single,34554.0,0,1,2014-03-30,43,41,65
4518,1979,Graduation,Together,85693.0,0,1,2013-04-20,59,386,45
9370,1945,PhD,Married,65846.0,0,0,2013-05-17,68,562,79
8908,1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,65
8373,1979,Basic,Together,24594.0,1,0,2013-12-10,94,1,45
7533,1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,60
2683,1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,55
3629,1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,46
10991,1960,Master,Married,89058.0,0,0,2012-12-07,18,454,64
5077,1979,Graduation,Together,77298.0,0,1,2013-11-02,46,425,45
7431,1991,PhD,Single,68126.0,0,0,2012-11-10,40,1332,33
3267,1963,Master,Together,57288.0,0,1,2014-06-25,27,527,61
999,1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,33
9215,1980,PhD,Married,43974.0,1,0,2012-12-12,19,378,44
2286,1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,62
1592,1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,54
367,1978,2n Cycle,Married,36550.0,1,0,2013-02-19,74,47,46
5234,1967,2n Cycle,Together,30753.0,1,1,2013-07-11,85,12,57
9862,1969,Graduation,Together,21918.0,1,0,2013-11-14,37,1,55
9805,1953,Master,Together,56129.0,0,1,2013-06-20,65,320,71
6205,1967,Master,Single,32557.0,1,0,2014-02-24,13,34,57
8442,1985,Master,Married,19510.0,2,0,2013-09-04,63,9,39
7386,1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,48
7215,1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,41
1491,1965,2n Cycle,Together,71488.0,0,0,2013-02-18,87,162,59
11071,1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,40
3381,1953,Master,Married,54348.0,1,1,2014-06-08,51,70,71
8268,1961,PhD,Married,51381.5,0,1,2013-07-11,23,352,63
11051,1956,PhD,Together,77376.0,1,1,2014-05-10,72,492,68
8026,1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,72
433,1958,Master,single,61331.0,1,1,2013-03-10,42,534,66
9597,1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,55
1295,1963,Graduation,Married,51381.5,0,1,2013-08-11,96,231,61
5290,1964,PhD,Married,41551.0,1,1,2013-08-14,51,220,60
1685,1967,PhD,Together,62981.0,0,0,2013-03-17,21,796,57
5342,1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,48
9579,1959,PhD,Married,33762.0,2,1,2013-07-07,61,53,65
7660,1973,PhD,single,35860.0,1,1,2014-05-19,37,15,51
1461,1965,PhD,Divorced,36921.0,1,1,2013-07-28,74,17,59
821,1992,Master,Single,92859.0,0,0,2012-10-19,46,962,32
11084,1976,Master,Together,65104.0,0,1,2013-11-14,4,738,48
8690,1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399,62
2937,1974,PhD,Single,68352.0,0,1,2013-08-28,47,614,50
9701,1988,Graduation,Together,41883.0,1,0,2013-03-19,13,32,36
9949,1976,Graduation,Married,59809.0,0,2,2012-10-18,36,598,48
10837,1975,Graduation,Married,23957.0,1,0,2012-10-28,47,2,49
3120,1981,Graduation,Together,38547.0,1,0,2013-08-28,49,6,43
5885,1973,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,51
4050,1966,Master,Married,49605.0,0,0,2014-06-21,65,42,58
3830,1953,Master,Married,59354.0,0,2,2014-04-24,59,295,71
7987,1969,Graduation,Married,65747.0,0,1,2014-03-07,96,346,55
7798,1972,2n Cycle,Together,46344.0,0,1,2012-12-14,28,233,52
92,1988,Graduation,single,34176.0,1,0,2014-05-12,12,5,36
7055,1952,PhD,Together,61010.0,0,1,2012-10-09,57,888,72
10240,1949,Graduation,Together,69372.0,0,0,2013-02-19,10,997,75
3025,1958,Graduation,Single,49967.0,0,1,2013-07-08,4,212,66
9283,1978,Graduation,Single,60199.0,1,2,2013-09-12,49,8,46
9970,1977,Graduation,Together,55375.0,0,1,2013-10-17,3,42,47
2730,1955,Graduation,Single,80317.0,0,0,2013-08-20,64,536,69
2795,1958,Master,Single,30523.0,2,1,2013-07-01,0,5,66
9260,1945,PhD,Married,70356.0,0,0,2012-11-05,20,1349,79
8182,1984,Graduation,Married,23228.0,1,0,2014-01-05,91,53,40
10095,1975,PhD,Divorced,74165.0,0,0,2013-05-01,9,1001,49
8475,1973,PhD,Married,157243.0,0,1,2014-03-01,98,20,51
4370,1966,Graduation,Together,43482.0,2,1,2013-11-13,83,18,58
10573,1953,Graduation,Divorced,62551.0,0,0,2013-11-18,27,125,71
3712,1959,Graduation,Divorced,52332.0,0,0,2013-08-28,63,212,65
6637,1988,Graduation,Single,66951.0,0,0,2013-11-02,46,277,36
3152,1957,Graduation,Together,26091.0,1,1,2014-02-25,84,15,67
5610,1965,Graduation,Together,33456.0,1,1,2014-04-21,58,7,59
6460,1982,Graduation,Married,28718.0,1,0,2013-07-13,78,12,42
1349,1970,Graduation,Married,50447.0,2,0,2014-04-21,4,85,54
1880,1959,PhD,Together,53537.0,1,1,2014-01-30,17,81,65
641,1967,Graduation,Single,52074.0,0,1,2014-04-04,77,59,57
8717,1975,PhD,Married,80427.0,0,1,2012-09-12,56,1149,49
10314,1948,PhD,Married,83837.0,0,0,2012-12-16,79,847,76
10854,1970,PhD,Married,38853.0,1,1,2014-05-23,90,29,54
10492,1959,Graduation,Together,38285.0,2,1,2014-06-24,96,2,65
6935,1951,2n Cycle,Married,78497.0,0,0,2013-12-01,44,207,73
7698,1976,PhD,Married,51650.0,0,1,2014-05-11,81,152,48
3559,1988,2n Cycle,Married,16248.0,1,0,2014-05-10,77,12,36
10562,1946,Master,Married,66835.0,0,0,2013-09-28,21,620,78
10796,1984,Master,Married,30477.0,1,0,2014-01-22,16,47,40
2563,1961,Basic,Married,28249.0,0,0,2014-06-15,80,1,63
3518,1983,Graduation,Married,25271.0,1,0,2012-12-05,45,10,41
5823,1970,PhD,Single,32303.0,0,1,2014-03-08,63,35,54
3934,1966,Graduation,Married,61286.0,0,1,2013-08-02,34,356,58
6982,1976,Graduation,Married,74068.0,0,0,2013-03-19,14,783,48
6431,1964,PhD,Married,45759.0,1,1,2013-02-23,13,42,60
9733,1978,Basic,Together,24882.0,1,0,2012-09-09,52,1,46
5602,1989,PhD,Together,66973.0,0,0,2013-05-17,98,466,35
1324,1988,Graduation,Married,38872.0,1,0,2013-05-30,93,23,36
326,1973,Graduation,Married,51148.0,1,1,2013-02-18,38,235,51
7224,1977,Graduation,Married,31353.0,1,1,2013-12-29,24,10,47
6999,1980,Master,Married,69661.0,0,0,2014-05-13,80,656,44
9938,1954,Graduation,Married,80067.0,0,0,2013-09-19,82,519,70
6422,1954,Graduation,Married,86718.0,0,0,2013-01-17,20,344,70
3182,1973,PhD,Single,46854.0,1,1,2014-03-31,81,96,51
7300,1952,Graduation,Divorced,69142.0,0,1,2014-06-29,50,448,72
10424,1968,Graduation,Single,75922.0,0,0,2013-12-09,60,265,56
8727,1978,Graduation,Divorced,63693.0,0,1,2013-10-14,63,587,46
2798,1977,PhD,Together,102160.0,0,0,2012-11-02,54,763,47
1030,1965,PhD,Single,40637.0,1,1,2013-07-17,72,22,59
624,1984,Master,Single,18890.0,0,0,2012-11-10,5,6,40
5176,1988,Graduation,Together,29604.0,1,0,2013-12-08,88,7,36
5552,1963,Master,Divorced,48721.0,1,1,2013-05-13,50,81,61
868,1966,Graduation,Married,44794.0,0,1,2014-06-08,99,54,58
380,1954,Graduation,Divorced,64497.0,0,1,2012-09-10,17,1170,70
2677,1956,Graduation,Together,46097.0,0,1,2013-03-31,11,72,68
6521,1954,Graduation,Together,77972.0,0,0,2014-03-18,18,613,70
6927,1968,PhD,Married,44377.0,1,1,2012-10-05,70,224,56
2877,1974,Master,Together,46014.0,1,1,2013-01-21,21,410,50
0,1985,Graduation,Married,70951.0,0,0,2013-05-04,66,239,39
1584,1977,Graduation,Married,41443.0,1,0,2014-04-01,79,171,47
7264,1978,2n Cycle,Single,52195.0,2,1,2014-05-12,2,12,46
6274,1948,Master,Married,83790.0,0,0,2013-11-15,81,1076,76
1377,1954,Master,Widow,44551.0,0,1,2013-08-31,24,182,70
454,1980,Graduation,Together,69508.0,1,0,2012-11-14,48,824,44
1755,1988,2n Cycle,Together,45204.0,1,0,2014-04-11,93,30,36
2075,1969,Graduation,Married,72460.0,0,0,2013-11-14,56,377,55
4785,1970,PhD,Together,77622.0,0,2,2014-04-14,3,520,54
9076,1980,PhD,Married,30732.0,1,0,2013-01-05,44,155,44
7079,1962,Graduation,Divorced,63887.0,0,1,2012-09-08,38,897,62
4653,1978,Graduation,Together,42011.0,1,0,2013-03-26,46,131,46
7375,1976,Graduation,Together,51369.0,0,1,2012-10-25,84,297,48
709,1952,Graduation,Divorced,51537.0,0,1,2012-12-09,27,787,72
460,1972,PhD,Married,79930.0,0,0,2012-08-08,72,792,52
3726,1986,PhD,Together,34320.0,1,0,2014-02-16,66,4,38
6798,1966,Graduation,Single,37070.0,1,1,2013-03-20,30,231,58
5341,1962,2n Cycle,Divorced,81975.0,0,1,2013-01-05,2,983,62
1606,1971,Graduation,Together,38590.0,1,0,2013-05-15,65,3,53
9617,1951,Graduation,Single,15033.0,0,0,2014-04-16,37,0,73
3233,1965,PhD,Married,62745.0,0,1,2013-03-23,89,562,59
89,1975,2n Cycle,Married,22212.0,1,0,2013-12-09,49,5,49
2936,1982,Master,Together,23661.0,1,0,2013-12-04,46,18,42
9449,1958,PhD,Single,79761.0,0,1,2013-10-04,32,415,66
7297,1973,Graduation,Single,7500.0,1,0,2013-12-26,54,5,51
313,1968,Graduation,Widow,73455.0,0,0,2013-10-28,98,901,56
9940,1958,Graduation,Together,64961.0,0,1,2012-12-23,97,382,66
10735,1971,Graduation,Single,22804.0,1,0,2013-07-31,75,14,53
9529,1990,Graduation,Married,73687.0,0,0,2013-11-28,8,559,34
6439,1958,Graduation,Married,61074.0,0,1,2012-08-17,37,789,66
7411,1964,PhD,Married,31686.0,1,1,2014-06-05,31,11,60
2176,1972,Graduation,Married,80134.0,1,0,2013-05-20,40,1218,52
9265,1953,Graduation,Married,75027.0,0,1,2013-01-09,74,925,71
8867,1988,PhD,Married,67546.0,0,0,2012-08-31,90,864,36
8932,1969,Master,Together,65176.0,0,1,2012-10-29,57,960,55
10236,1975,Master,Single,31160.0,1,0,2013-09-16,59,16,49
6340,1985,Graduation,Single,29938.0,1,0,2013-10-27,52,3,39
10089,1974,Graduation,Divorced,102692.0,0,0,2013-04-05,5,168,50
2227,1958,2n Cycle,Together,26490.0,0,0,2012-09-22,92,45,66
10992,1967,Graduation,Together,75702.0,1,1,2012-08-29,77,650,57
5304,1974,PhD,Single,30899.0,1,0,2012-10-13,35,24,50
309,1961,PhD,Together,63342.0,0,1,2012-10-16,48,918,63
3406,1964,Graduation,Single,45989.0,0,1,2012-10-22,97,138,60
2661,1964,Graduation,Single,18701.0,1,1,2013-06-04,95,12,60
3153,1957,PhD,Single,40737.0,2,1,2013-12-08,24,11,67
10264,1979,Graduation,Divorced,15287.0,1,0,2012-10-10,60,1,45
1184,1968,PhD,Divorced,69674.0,0,2,2013-05-22,46,554,56
4200,1970,Master,Married,44159.0,1,0,2014-06-17,85,167,54
9396,1978,PhD,Married,37717.0,1,0,2012-11-23,31,9,46
2387,1952,Master,Together,43776.0,1,1,2013-02-03,9,177,72
6690,1966,Master,Married,38179.0,1,1,2013-03-14,30,38,58
1225,1963,Graduation,Married,80124.0,0,0,2014-06-26,47,483,61
9703,1970,PhD,Married,38097.0,1,1,2012-10-15,70,77,54
291,1970,Graduation,Married,72940.0,0,0,2013-06-19,13,182,54
4557,1970,Graduation,Together,22070.0,1,0,2013-10-04,11,10,54
2379,1953,Graduation,Single,69267.0,0,0,2012-09-22,31,778,71
5726,1983,Master,Single,31788.0,1,0,2014-03-20,15,16,41
3066,1975,PhD,Together,61905.0,0,1,2014-02-04,2,167,49
6336,1960,Graduation,Married,29315.0,1,1,2014-04-06,55,13,64
10967,1963,Graduation,Divorced,33378.0,1,1,2013-02-06,38,33,61
2304,1963,PhD,Together,66313.0,0,1,2013-09-16,86,625,61
3445,1956,Graduation,Single,60714.0,0,0,2013-01-17,56,216,68
7828,1981,Master,Together,77882.0,0,0,2014-04-30,29,68,43
3762,1986,PhD,Single,69867.0,0,0,2013-04-02,30,196,38
4391,1968,Master,Divorced,63841.0,0,1,2013-04-21,64,635,56
4669,1981,Basic,Married,24480.0,1,0,2013-02-11,46,4,43
10144,1976,Graduation,Together,51369.0,0,1,2012-10-25,84,297,48
8652,1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,78
1672,1974,PhD,Together,65640.0,0,1,2014-03-01,74,204,50
8962,1975,Master,Married,44319.0,1,1,2014-04-17,18,26,49
9974,1974,Graduation,Married,30631.0,1,0,2013-07-12,75,15,50
10983,1952,Graduation,Together,75278.0,0,0,2013-01-29,17,304,72
8148,1956,Master,Together,50898.0,1,1,2013-01-08,88,285,68
10102,1966,Graduation,Widow,79946.0,0,0,2014-05-12,19,395,58
4697,1949,Master,Divorced,35416.0,0,0,2013-06-13,62,248,75
9262,1984,2n Cycle,Together,32414.0,0,0,2013-07-04,11,20,40
7254,1969,Graduation,Together,38361.0,1,0,2013-12-27,74,39,55
4543,1980,Graduation,Married,82497.0,0,0,2012-10-31,32,777,44
4927,1971,Graduation,Together,16626.0,2,0,2014-01-15,76,8,53
10451,1965,Graduation,Together,29672.0,1,1,2013-03-12,6,9,59
2926,1952,Master,Together,55951.0,0,1,2012-08-23,62,1241,72
2874,1988,2n Cycle,Divorced,35388.0,1,0,2013-03-07,20,6,36
9738,1986,Master,Together,42386.0,1,0,2013-01-13,43,65,38
7119,1982,Graduation,Single,68627.0,0,0,2013-01-12,45,395,42
3924,1965,PhD,Divorced,57912.0,0,1,2014-03-17,34,801,59
5827,1958,Graduation,Divorced,35246.0,1,1,2014-04-16,53,36,66
5596,1956,2n Cycle,Together,58821.0,0,1,2013-10-12,44,513,68
10812,1978,PhD,Married,46377.0,1,0,2014-03-01,89,37,46
1717,1988,Graduation,Single,39747.0,1,0,2014-04-13,43,80,36
9491,1984,Graduation,Together,23976.0,1,0,2013-12-27,68,14,40
9274,1961,Master,Married,80950.0,0,0,2013-03-28,44,525,63
6609,1966,Graduation,Widow,27038.0,0,0,2012-09-18,64,1,58
6963,1947,Graduation,Single,77457.0,0,0,2014-03-05,85,675,77
4440,1964,Master,Married,64100.0,0,1,2013-09-10,93,509,60
1379,1992,Master,Together,42670.0,0,0,2013-04-27,12,154,32
10032,1976,Graduation,Divorced,12571.0,1,0,2014-01-18,86,3,48
2826,1967,Graduation,Married,22574.0,2,1,2013-10-28,28,25,57
2437,1989,Graduation,Married,51381.5,0,0,2013-06-03,69,861,35
6320,1976,Master,Single,70893.0,0,0,2013-02-06,42,768,48
3050,1966,Graduation,Married,54198.0,1,1,2013-12-17,13,185,58
231,1956,Master,Together,28839.0,1,1,2014-03-11,86,24,68
2392,1972,Graduation,Married,40321.0,1,1,2013-07-29,59,44,52
9478,1985,Graduation,Single,66503.0,1,0,2012-08-14,30,91,39
113,1951,Graduation,Married,30833.0,1,1,2013-07-16,33,11,73
2863,1970,Graduation,Single,51381.5,1,2,2013-08-23,67,738,54
1802,1971,Graduation,Married,64795.0,0,1,2013-01-17,23,412,53
520,1974,Graduation,Married,34421.0,1,0,2013-07-01,81,3,50
8275,1965,PhD,Divorced,47025.0,1,1,2014-02-09,6,16,59
9750,1961,PhD,Divorced,64325.0,0,1,2013-02-07,41,731,63
2607,1953,Graduation,Single,40464.0,0,1,2013-01-11,78,424,71
7214,1957,Graduation,Married,62187.0,0,0,2013-07-05,49,792,67
5835,1976,PhD,Divorced,14849.0,1,0,2013-07-02,39,21,48
3896,1984,Graduation,Married,27255.0,1,0,2013-11-07,3,22,40
10350,1950,PhD,Married,54432.0,2,1,2013-05-09,37,33,74
7786,1986,PhD,Single,29999.0,1,0,2013-02-13,22,68,38
2861,1983,Graduation,Single,24072.0,1,0,2013-04-16,79,9,41
663,1989,PhD,Single,33996.0,0,0,2013-09-11,46,40,35
10675,1956,PhD,Married,66334.0,0,1,2013-04-03,82,909,68
2521,1971,Master,Married,35178.0,1,0,2013-01-10,10,23,53
9592,1983,Graduation,Together,22010.0,1,0,2013-06-30,51,11,41
10151,1960,Graduation,Divorced,62204.0,0,2,2012-09-12,38,317,64
7381,1968,Graduation,Divorced,75693.0,0,0,2012-12-06,10,797,56
4099,1972,Graduation,Married,30675.0,1,0,2012-11-12,14,10,52
9560,1965,Graduation,Together,83003.0,0,0,2013-03-03,18,856,59
10172,1988,Graduation,Single,68655.0,0,0,2012-08-10,95,456,36
11191,1986,Graduation,Divorced,41411.0,0,0,2013-12-07,11,37,38
9707,1969,PhD,Married,55212.0,0,1,2012-11-23,65,1103,55
6245,1950,PhD,Together,59292.0,0,1,2013-06-13,71,378,74
8234,1973,Basic,Together,27190.0,1,0,2013-08-15,13,1,51
1411,1952,Graduation,Divorced,82623.0,0,0,2013-11-10,58,204,72
8553,1965,Graduation,Married,44300.0,1,1,2013-06-23,65,30,59
1826,1970,Graduation,Divorced,84835.0,0,0,2014-06-16,0,189,54
8842,1971,Graduation,Widow,30372.0,1,1,2012-12-25,33,15,53
11030,1976,Master,Married,33181.0,1,0,2014-01-03,90,9,48
2579,1957,Graduation,Married,71113.0,0,1,2013-12-17,95,495,67
175,1986,Graduation,Married,71952.0,1,0,2013-01-10,93,656,38
9185,1966,PhD,Single,69759.0,0,0,2013-10-28,38,452,58
11056,1974,Graduation,Married,72099.0,0,0,2012-10-27,18,546,50
9365,1976,PhD,Single,60000.0,0,1,2012-12-22,57,1048,48
6201,1978,Graduation,Single,38643.0,1,1,2013-11-29,45,22,46
2061,1955,Graduation,Married,50737.0,0,1,2013-05-11,61,78,69
6184,1969,PhD,Married,68462.0,0,0,2012-12-12,6,561,55
6142,1943,Master,Married,65073.0,0,0,2013-08-20,65,629,81
4107,1948,PhD,Together,46681.0,0,2,2013-10-08,52,269,76
7274,1957,Graduation,Married,78618.0,0,0,2012-09-28,87,736,67
9336,1969,PhD,Widow,62187.0,0,1,2014-03-22,38,512,55
2958,1978,Graduation,Married,28442.0,2,0,2014-02-24,53,19,46
933,1978,PhD,Married,37717.0,1,0,2012-11-23,31,9,46
5837,1967,Graduation,Married,51479.0,1,1,2012-12-28,67,247,57
10704,1969,Graduation,Single,54803.0,0,1,2012-08-21,65,404,55
5125,1960,Graduation,Married,79530.0,0,0,2013-05-17,64,333,64
4432,1976,Graduation,Divorced,31615.0,1,0,2013-03-16,82,2,48
5955,1962,Graduation,Together,72025.0,0,0,2012-11-17,27,833,62
2928,1975,PhD,Single,52614.0,0,1,2012-12-01,63,789,49
5680,1984,2n Cycle,Married,35684.0,1,0,2014-04-22,66,10,40
10313,1975,Graduation,Married,48178.0,1,1,2012-10-28,69,159,49
2557,1970,Master,Single,29548.0,1,0,2013-08-29,52,7,54
1245,1966,Graduation,Single,63810.0,0,1,2012-11-11,45,977,58
1519,1972,PhD,Single,38578.0,1,1,2013-06-22,2,38,52
10703,1975,Master,Single,46098.0,1,1,2012-08-18,86,57,49
1726,1970,Graduation,Single,22585.0,0,0,2013-03-18,23,3,54
4459,1989,Graduation,Single,30279.0,1,0,2012-12-30,13,10,35
1729,1961,PhD,Together,66426.0,0,1,2013-10-02,14,1043,63
1517,1969,Graduation,Single,30822.0,1,0,2013-06-14,92,3,55
2098,1969,PhD,Married,33581.0,2,0,2013-01-08,38,11,55
9543,1985,Graduation,Married,19986.0,1,0,2013-11-14,74,3,39
6878,1954,Graduation,Widow,27421.0,0,0,2012-12-12,14,43,70
3310,1973,2n Cycle,Married,35688.0,2,1,2012-08-22,94,73,51
2724,1981,Master,Single,36143.0,1,0,2014-03-30,33,12,43
948,1971,Graduation,Single,10245.0,1,0,2013-05-15,32,4,53
6720,1968,Master,Together,43795.0,0,1,2013-10-16,11,314,56
6202,1960,Graduation,Together,63381.0,0,1,2012-10-05,78,571,64
2066,1949,Graduation,Together,38823.0,0,1,2012-08-30,56,70,75
9799,1968,PhD,Divorced,83664.0,1,1,2013-05-08,57,866,56
8318,1979,Graduation,Together,90300.0,0,0,2014-01-03,7,594,45
5642,1979,Master,Together,62499.0,1,0,2013-12-09,0,140,45
